player_id,name,position,age,nationality,league,pace,dribbling,passing_accuracy,shooting,tackling,aerial_duels_won_pct,positioning,stamina,goals_per90,assists_per90,estimated_value_eur_m
P0001,Erik Almeida,CM,20,Croatia,Premier League,67.6,70.2,86.1,45.4,50.8,40.4,60.6,59.1,0.22,0.26,9.6
P0002,Nico Garcia,CM,22,Italy,Bundesliga,69.8,88.5,81.2,51.0,50.9,40.2,75.6,82.3,0.0,0.08,22.4
P0003,Erik Smith,CM,27,Spain,Bundesliga,59.4,57.0,75.2,46.3,55.5,43.6,77.6,85.6,0.05,0.09,36.4
P0004,Thiago Kone,CM,28,Netherlands,Premier League,60.7,57.2,71.0,41.0,56.1,49.7,75.1,87.2,0.19,0.16,22.8
P0005,Hugo Fernandes,CM,24,England,Serie A,58.8,77.7,87.9,37.4,60.1,28.6,76.6,72.5,0.2,0.12,25.8
P0006,Mohammed Boateng,CAM,28,Morocco,La Liga,68.2,73.7,68.0,58.7,35.9,38.3,68.6,76.0,0.42,0.33,26.8
P0007,Felix Kone,FB,23,France,Serie A,83.4,62.9,65.1,45.2,65.7,33.8,67.8,78.8,0.0,0.1,20.5
P0008,Ibrahim Owusu,CM,24,Argentina,Bundesliga,51.6,59.4,70.1,50.8,51.5,39.7,68.0,83.8,0.04,0.12,17.1
P0009,Bruno Kone,FB,28,England,Ligue 1,70.7,76.2,56.8,39.7,85.5,47.1,60.5,82.8,0.0,0.0,23.9
P0010,Yusuf Garcia,CM,29,Brazil,La Liga,65.5,77.4,85.0,51.6,43.5,36.8,73.9,66.3,0.1,0.28,
P0011,Kevin Fernandes,FB,27,Brazil,Eredivisie,87.7,66.8,74.8,36.4,58.3,63.4,75.6,87.9,0.0,0.0,13.8
P0012,Hugo Owusu,CB,21,Brazil,Ligue 1,61.2,34.0,51.8,32.0,78.1,87.7,79.3,89.9,0.04,0.0,16.8
P0013,Andre Garcia,FB,17,Netherlands,Serie A,76.1,67.6,72.1,34.0,70.7,72.0,77.4,74.4,0.0,0.04,
P0014,Thiago Owusu,ST,27,Ivory Coast,Premier League,66.4,59.6,59.0,71.8,15.5,,92.2,64.7,0.3,0.22,17.4
P0015,Erik Martinez,CAM,24,Belgium,Eredivisie,62.5,78.5,76.7,80.1,24.6,32.7,68.4,,0.34,0.1,17.0
P0016,James Keller,CB,34,Ghana,La Liga,74.7,55.9,64.6,25.1,83.5,86.4,70.0,64.4,0.0,0.0,
P0017,Marco Martinez,CAM,25,Morocco,Championship,72.6,95.1,81.8,78.2,26.3,40.7,67.3,66.6,0.21,0.27,9.4
P0018,Diego Almeida,ST,17,Netherlands,Ligue 1,66.8,68.0,55.0,93.1,13.6,56.5,79.0,81.5,0.33,0.27,7.8
P0019,Kofi Silva,GK,29,Ivory Coast,La Liga,49.3,36.0,64.5,11.8,17.8,73.6,79.1,64.0,0.19,0.0,7.5
P0020,Yusuf De Bruyne,ST,23,England,La Liga,76.7,77.1,61.3,75.0,22.2,67.6,89.6,72.9,0.64,0.09,40.5
P0021,Ola Sarr,FB,23,England,Serie A,73.6,73.3,69.8,22.7,70.9,64.2,71.9,77.0,0.0,0.02,75.7
P0022,Yusuf Costa,ST,26,Germany,Championship,74.0,68.4,81.2,73.2,24.9,61.6,71.6,58.5,0.59,0.33,
P0023,Pierre Lopes,CB,23,Belgium,Bundesliga,61.6,49.5,65.0,34.2,76.2,72.7,85.9,51.7,0.27,0.02,21.0
P0024,Rafael Boateng,FB,27,Belgium,Serie A,83.9,56.2,74.1,30.6,48.3,55.5,58.2,,0.0,0.05,27.4
P0025,Pierre Smith,ST,26,Germany,La Liga,75.4,88.2,68.2,76.5,39.9,69.6,92.5,69.1,0.7,0.0,51.8
P0026,Felix Mensah,CAM,21,Nigeria,La Liga,57.3,75.4,66.7,78.8,18.1,34.8,68.8,85.5,0.0,0.31,25.5
P0027,Ola Owusu,FB,18,Italy,Championship,88.8,64.1,77.9,22.2,63.2,55.0,65.4,78.4,,0.0,4.3
P0028,Victor Silva,GK,17,Ghana,Championship,42.9,25.9,57.1,5.5,40.3,81.2,66.9,69.2,0.11,,1.7
P0029,Emile Silva,CM,28,Ivory Coast,Championship,63.9,69.6,60.6,46.1,65.7,52.9,70.6,,0.2,0.15,5.6
P0030,Tunde Sarr,CAM,17,Brazil,Championship,75.3,60.6,96.3,50.9,42.0,32.7,76.5,66.0,0.5,0.3,4.8
P0031,Rafael Traore,FB,19,Germany,Premier League,67.6,65.4,64.1,17.8,72.1,45.3,55.7,81.7,0.0,0.06,25.5
P0032,Erik Nkrumah,GK,25,Ghana,Eredivisie,38.8,30.2,52.5,9.7,20.5,71.5,82.8,58.0,0.05,0.14,4.6
P0033,Kevin Smith,CM,18,England,Bundesliga,66.6,61.9,66.6,44.8,46.3,58.5,75.1,79.9,0.3,0.19,7.4
P0034,Ahmed Traore,CB,18,Italy,Premier League,50.9,46.8,64.7,24.9,66.9,82.0,73.4,66.4,0.0,,11.4
P0035,Ibrahim Rossi,ST,27,Italy,Ligue 1,76.7,86.3,78.0,87.5,18.9,55.5,70.0,72.2,0.14,0.1,24.7
P0036,Mohammed Martinez,ST,36,Ghana,Championship,62.1,68.8,61.7,75.2,31.1,68.9,84.2,64.2,0.92,0.0,1.9
P0037,Diego Nkrumah,ST,25,Germany,Bundesliga,75.7,73.9,77.6,79.0,25.9,55.2,82.7,67.5,0.5,0.2,41.6
P0038,Hugo Diallo,CM,23,Nigeria,Ligue 1,75.4,62.6,60.2,58.4,48.3,32.4,68.1,78.1,0.2,0.27,18.5
P0039,Ola Keller,CM,28,France,Premier League,73.7,81.6,77.7,56.6,63.1,41.0,71.1,85.3,0.0,0.34,36.2
P0040,Kevin Diallo,CM,25,Nigeria,Championship,85.0,59.9,99.0,61.3,51.2,45.2,66.9,93.6,0.16,0.3,15.2
P0041,Pierre Kone,CM,27,Nigeria,Bundesliga,64.6,70.2,69.0,69.6,56.0,45.9,73.8,83.8,0.11,0.1,33.4
P0042,Lucas Lopes,ST,22,Portugal,Ligue 1,71.0,73.4,61.9,70.1,16.2,64.3,67.1,81.2,0.45,0.21,14.7
P0043,Victor Traore,GK,24,Argentina,La Liga,,36.7,49.7,6.5,20.7,68.5,72.5,50.4,0.07,0.0,7.2
P0044,Tunde Almeida,GK,34,Netherlands,Ligue 1,32.0,30.9,59.0,5.4,12.7,63.0,57.1,70.8,0.0,0.01,0.3
P0045,Kwame Mensah,CB,29,Argentina,Primeira Liga,,64.4,73.6,20.5,51.5,75.1,76.9,63.5,0.0,0.0,16.2
P0046,Felix Dubois,GK,29,Senegal,Championship,27.6,23.8,45.0,30.6,21.2,76.5,55.0,61.1,0.18,0.14,1.3
P0047,Jorge Martinez,GK,18,France,Serie A,37.8,31.8,44.3,15.5,23.7,80.9,77.7,61.8,0.14,0.15,2.5
P0048,Diego Nkrumah,CB,29,Ghana,Eredivisie,42.6,31.0,53.6,32.8,79.8,75.3,85.8,85.2,,0.0,11.4
P0049,Kwame Boateng,CAM,25,England,Bundesliga,,81.3,66.4,73.2,33.8,42.0,79.9,85.3,0.4,0.12,17.2
P0050,Diego Keller,ST,19,France,La Liga,79.6,57.8,58.6,90.7,17.9,64.6,64.0,,0.5,0.16,
P0051,Sadio Costa,ST,25,Portugal,Championship,76.9,66.2,83.4,69.9,14.4,73.2,72.4,62.4,0.9,0.25,9.0
P0052,Emile Fernandes,CM,25,Italy,La Liga,54.3,71.0,82.9,54.5,63.6,51.7,71.7,79.4,0.0,0.22,33.7
P0053,Ola Silva,ST,21,Brazil,Bundesliga,79.9,68.4,57.3,85.3,31.3,59.5,72.7,87.5,0.6,0.02,34.7
P0054,Lucas Fernandes,FB,30,Italy,Championship,70.8,63.5,64.5,46.6,69.6,63.3,53.1,84.1,0.16,0.06,12.8
P0055,Mohammed Rossi,CM,22,Portugal,La Liga,76.3,86.4,75.1,46.4,66.6,57.6,63.8,76.6,0.04,0.05,20.2
P0056,Hugo Nkrumah,CAM,24,Italy,La Liga,60.9,72.8,86.4,67.2,30.4,41.9,79.4,,0.26,0.41,24.3
P0057,Felix Keller,CAM,22,Portugal,La Liga,63.2,82.4,75.0,61.0,28.7,37.0,62.6,78.4,0.41,0.33,17.9
P0058,Ibrahim Rossi,CB,21,Belgium,Bundesliga,61.3,42.1,62.7,29.3,88.7,71.2,75.8,54.0,0.0,0.14,11.3
P0059,Ola Costa,ST,28,France,Serie A,75.3,84.9,71.6,88.8,26.1,61.3,91.9,67.0,,0.12,28.7
P0060,Sadio Smith,CB,22,Croatia,Championship,63.8,42.0,51.3,19.5,84.0,81.3,78.2,66.2,0.03,0.13,4.4
P0061,Ahmed Mensah,CM,23,Nigeria,Ligue 1,59.6,67.6,75.4,47.2,63.9,49.5,62.4,75.6,0.15,0.23,16.0
P0062,Kofi Lopes,CB,22,Nigeria,Premier League,63.0,57.5,57.5,20.6,95.0,66.4,57.4,71.5,0.0,0.0,29.2
P0063,Tunde Smith,ST,17,Croatia,La Liga,70.5,79.3,57.6,73.8,30.1,63.2,83.5,60.7,0.93,0.03,10.3
P0064,Kwame Smith,CM,23,Senegal,Serie A,65.2,62.8,85.5,48.7,44.3,33.6,72.8,68.1,0.13,0.22,13.5
P0065,Kevin Novak,GK,24,Belgium,Serie A,35.6,22.5,63.0,19.7,25.9,77.5,76.8,57.4,0.04,0.0,7.2
